dwv_order_make_haikou_2.order_id	dwv_order_make_haikou_2.product_id	dwv_order_make_haikou_2.city_id	dwv_order_make_haikou_2.district	dwv_order_make_haikou_2.county	dwv_order_make_haikou_2.type	dwv_order_make_haikou_2.combo_type	dwv_order_make_haikou_2.traffic_type	dwv_order_make_haikou_2.passenger_count	dwv_order_make_haikou_2.driver_product_id	dwv_order_make_haikou_2.start_dest_distance	dwv_order_make_haikou_2.arrive_time	dwv_order_make_haikou_2.departure_time	dwv_order_make_haikou_2.pre_total_fee	dwv_order_make_haikou_2.normal_time	dwv_order_make_haikou_2.bubble_trace_id	dwv_order_make_haikou_2.product_1level	dwv_order_make_haikou_2.dest_lng	dwv_order_make_haikou_2.dest_lat	dwv_order_make_haikou_2.starting_lng	dwv_order_make_haikou_2.starting_lat	dwv_order_make_haikou_2.year	dwv_order_make_haikou_2.month	dwv_order_make_haikou_2.day
17592880231474	3	83	0898	460106	0	0	0	0	3	3806	2017-05-26 00:04:47	2017-05-26 00:02:43	11	14	d88a957f7f1ff9fae80a9791103f0303	3	110.3463	20.0226	110.3249	20.0212	2017	05	26
17592880435172	3	83	0898	460106	0	0	0	0	3	3557	2017-05-26 00:16:07	2017-05-26 00:13:12	11	8	a692221c507544783a0519b810390303	3	110.3285	20.0212	110.3133	20.0041	2017	05	26
17592880622846	3	83	0898	460108	0	0	0	0	3	3950	2017-05-26 01:05:53	2017-05-26 01:03:25	12	8	c0a80166cf3529b8a11ef1af10440303	3	110.3635	20.0061	110.3561	20.0219	2017	05	26
17592880665344	3	83	0898	460106	0	0	0	0	3	2265	2017-05-26 00:51:31	2017-05-26 00:48:24	9	6	6446aa1459270ad8255c9d6e26e5ff02	3	110.3172	19.9907	110.3064	20.0005	2017	05	26
17592880763217	3	83	0898	460106	0	0	0	0	3	7171	0000-00-00 00:00:00	2017-05-26 00:55:16	20	NULL	64469e3e59270c7308f066ae2187a102	3	110.3384	20.0622	110.3347	20.0269	2017	05	26
17592880885186	3	83	0898	460107	0	0	0	0	3	8368	2017-05-26 02:00:15	2017-05-26 01:54:26	24	15	6446a13459271a517a8435b41aa8a002	3	110.3397	20.0395	110.3541	19.9947	2017	05	26
17592881134529	3	83	0898	460106	0	0	0	0	3	4304	2017-05-26 03:38:13	2017-05-26 03:33:24	13	NULL	64469e3b59273182744d550020dd6f02	3	110.3608	20.027	110.3435	20.0444	2017	05	26
17592881199105	3	83	0898	460108	0	0	0	0	3	6247	2017-05-26 03:18:04	2017-05-26 03:15:36	17	12	64469c3159272d57041f9b782352e802	3	110.3336	20.001	110.3461	20.0321	2017	05	26
17592881962918	3	83	0898	460106	0	0	0	0	3	5151	2017-05-26 07:13:13	2017-05-26 07:03:29	14	13	c0a800655927626800006caf8c764d23	3	110.3433	19.9841	110.3326	20.0136	2017	05	26
17592882308885	3	83	0898	460108	0	0	0	0	3	7667	2017-05-26 07:29:18	2017-05-26 07:23:13	19	20	c0a8030376f0685e4927c11310330303	3	110.3121	20.0252	110.3577	20.0316	2017	05	26
17592882846802	3	83	0898	460106	0	0	0	0	3	5596	2017-05-26 07:53:05	2017-05-26 07:48:16	14	9	64469f3359276d4070cc33c41a31d602	3	110.2972	19.9761	110.3188	19.9894	2017	05	26
17592883028302	3	83	0898	460105	0	0	0	0	0	5637	0000-00-00 00:00:00	2017-05-26 08:00:30	15	NULL	670ba07ff8b99e716609678c10480303	3	110.3344	20.0197	110.2929	20.0206	2017	05	26
17592883068782	3	83	0898	460106	0	0	0	0	3	6615	0000-00-00 00:00:00	2017-05-26 08:01:58	16	NULL	dc6bf9507a25aa12c70974a3103a0303	3	110.3367	20.0134	110.2986	20.0009	2017	05	26
17592883228084	3	83	0898	460108	0	0	0	0	0	2565	0000-00-00 00:00:00	2017-05-26 08:03:42	10	NULL	c0a80067a07fe1fad01fd86210ac0303	3	110.3389	20.0316	110.3463	20.0394	2017	05	26
17592883268444	3	83	0898	460108	0	0	0	0	3	3768	2017-05-26 08:07:15	2017-05-26 08:03:44	11	13	6446a135592770e0b40e226e243cf102	3	110.3431	20.0185	110.3678	20.0238	2017	05	26
17592883517787	3	83	0898	460105	0	0	0	0	3	15093	2017-05-26 08:29:41	2017-05-26 08:21:41	43	35	64469c315927751403a79b7925849502	3	110.3411	20.0437	110.2137	20.0507	2017	05	26
17592883788199	3	83	0898	460107	0	0	0	0	0	3412	0000-00-00 00:00:00	2017-05-26 08:29:03	9	NULL	64469f35592776cf2c89865922f2d102	3	110.3409	20.0015	110.3418	20.0131	2017	05	26
17592884008161	3	83	0898	460106	0	0	0	0	0	2874	0000-00-00 00:00:00	2017-05-26 08:33:52	9	NULL	6445b03a592777f04fe3a4bb279c1e02	3	110.3148	19.9971	110.3269	20.012	2017	05	26
17592884910207	3	83	0898	460106	0	0	0	0	3	4265	2017-05-26 09:23:45	2017-05-26 09:18:00	12	18	6446aa145927824827169d7025cf6102	3	110.3302	20.0187	110.3458	20.0407	2017	05	26
17592885163466	3	83	0898	460105	0	0	0	0	3	4803	2017-05-26 09:32:41	2017-05-26 09:30:54	14	15	d98b605cae2b95041e0f1e8410420303	3	110.33	20.0075	110.2877	20.0013	2017	05	26
17592885593180	3	83	0898	460105	0	0	0	0	3	7251	2017-05-26 09:49:09	2017-05-26 09:45:22	18	16	6446a133592788b24fb3775126975b02	3	110.353	20.0202	110.2899	20.0131	2017	05	26
17592885684999	3	83	0898	460105	0	0	0	0	3	11156	2017-05-26 09:57:15	2017-05-26 09:54:45	28	20	f830821e59278ae3000026c8894a008c	3	110.3388	20.0317	110.2579	20.0183	2017	05	26
