,ed_date,ed_time,ed_X,ed_Y
0,20170519,1,49,37
1,20170519,2,43,45
2,20170519,2,45,30
3,20170519,7,34,29
4,20170519,8,42,36
5,20170519,8,37,34
6,20170519,8,51,31
7,20170519,8,45,28
8,20170519,8,33,31
9,20170519,9,45,23
10,20170519,9,43,21
11,20170519,9,48,30
12,20170519,10,44,26
13,20170519,10,39,35
14,20170519,10,44,35
15,20170519,11,51,33
16,20170519,11,41,35
17,20170519,11,45,39
18,20170519,11,44,38
19,20170519,12,42,34
20,20170519,12,42,27
21,20170519,12,42,35
22,20170519,14,50,22
23,20170519,14,62,18
24,20170519,14,48,39
25,20170519,15,46,37
26,20170519,15,48,27
27,20170519,15,45,36
28,20170519,15,41,35
29,20170519,15,34,21
30,20170519,15,41,35
31,20170519,16,46,42
32,20170519,16,42,38
33,20170519,16,39,35
34,20170519,16,38,33
35,20170519,16,38,20
36,20170519,16,42,36
37,20170519,17,43,38
38,20170519,17,49,34
39,20170519,17,51,25
40,20170519,18,44,36
41,20170519,18,41,45
42,20170519,18,48,34
43,20170519,18,42,31
44,20170519,18,63,17
45,20170519,18,51,26
46,20170519,18,39,34
47,20170519,19,45,46
48,20170519,19,44,38
49,20170519,19,40,35
50,20170519,19,52,25
51,20170519,19,44,38
52,20170519,20,56,38
53,20170519,20,34,28
54,20170519,20,46,39
55,20170519,20,47,18
56,20170519,20,44,36
57,20170519,20,39,30
58,20170519,21,45,25
59,20170519,22,47,38
60,20170519,22,43,44
61,20170519,23,42,44
62,20170518,23,38,33
63,20170519,0,46,33
64,20170519,0,44,29
65,20170519,2,31,32
66,20170519,2,44,41
67,20170519,4,46,27
68,20170519,7,45,23
69,20170519,7,39,25
70,20170519,7,38,34
71,20170519,8,46,35
