,st_date,st_time,st_X,st_Y
0,20170519,1,49,29
1,20170519,2,44,37
2,20170519,2,43,33
3,20170519,7,37,22
4,20170519,8,40,43
5,20170519,8,46,45
6,20170519,8,50,27
7,20170519,8,50,26
8,20170519,8,31,31
9,20170519,9,39,28
10,20170519,9,41,35
11,20170519,9,44,30
12,20170519,10,41,29
13,20170519,10,35,29
14,20170519,11,49,35
15,20170519,11,45,25
16,20170519,11,43,37
17,20170519,11,36,36
18,20170519,11,36,31
19,20170519,12,42,23
20,20170519,12,40,27
21,20170519,12,49,29
22,20170519,14,52,23
23,20170519,14,65,22
24,20170519,14,48,32
25,20170519,15,41,45
26,20170519,15,43,24
27,20170519,15,51,31
28,20170519,15,45,43
29,20170519,15,47,39
30,20170519,16,49,36
31,20170519,16,48,24
32,20170519,16,43,33
33,20170519,16,45,23
34,20170519,16,40,34
35,20170519,17,48,37
36,20170519,17,43,31
37,20170519,17,28,33
38,20170519,18,31,31
39,20170519,18,41,36
40,20170519,18,51,32
41,20170519,18,37,33
42,20170519,18,65,11
43,20170519,18,52,23
44,20170519,19,47,44
45,20170519,19,40,45
46,20170519,19,49,35
47,20170519,19,45,39
48,20170519,20,42,35
49,20170519,20,45,36
50,20170519,20,35,31
51,20170519,20,44,21
52,20170519,20,41,34
53,20170519,20,46,22
54,20170519,20,37,32
55,20170519,21,45,22
56,20170519,22,50,35
57,20170519,22,44,38
58,20170519,23,51,35
59,20170518,23,44,27
60,20170519,0,43,34
61,20170519,0,49,37
62,20170519,2,42,38
63,20170519,2,42,21
64,20170519,4,46,40
65,20170519,7,43,36
66,20170519,7,41,26
67,20170519,7,45,27
68,20170519,8,51,23
